rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,link
2.329,5.0,223100000.0,63900000.0,79600000.0,15212.068429,CarbSphere_10.0_5.0_20250429-083612,Siliconium,10.0,0.5,0.5,5846.174706140654,3.5808763,3.6113154,3.8699273,3.8802118,4.8646785,5.5691506,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_5.0_0.5_20250429-083612.json&mode=6&magnif=6
2.329,5.0,223100000.0,63900000.0,79600000.0,15212.068429,CarbSphere_10.0_5.0_20250429-083612,Siliconium,10.0,0.6,0.5,5846.174706140654,3.915588,3.948953,4.2089392,4.2200091,5.3199886,6.0979182,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_5.0_0.6_20250429-083612.json&mode=6&magnif=6
2.329,5.0,223100000.0,63900000.0,79600000.0,15212.068429,CarbSphere_10.0_5.0_20250429-083612,Siliconium,10.0,0.7,0.5,5846.174706140654,4.2238567,4.2599113,4.5223137,4.5341183,5.7392856,6.584358,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_5.0_0.7_20250429-083612.json&mode=6&magnif=6
2.329,5.0,223100000.0,63900000.0,79600000.0,15212.068429,CarbSphere_10.0_5.0_20250429-083612,Siliconium,10.0,0.8,0.5,5846.174706140654,4.5111074,4.5496646,4.8151618,4.827659,6.1299657,7.0372532,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_5.0_0.8_20250429-083612.json&mode=6&magnif=6
2.329,5.0,223100000.0,63900000.0,79600000.0,15212.068429,CarbSphere_10.0_5.0_20250429-083612,Siliconium,10.0,0.9,0.5,5846.174706140654,4.7811304,4.8220374,5.0910816,5.1042355,6.4971945,7.4627136,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_10.0_5.0_0.9_20250429-083612.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,48603.060301,CarbSphere_5.0_2.0_20250427-234304,Carbonium,5.0,0.1,0.4,12823.342868880141,1.7372708,1.7500926,2.0372811,2.0478348,2.125808,2.5499495,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_2.0_0.1_20250427-234304.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,48603.060301,CarbSphere_5.0_2.0_20250427-234304,Carbonium,5.0,0.2,0.4,12823.342868880141,2.3459459,2.3642448,2.6523536,2.6642488,2.8749738,3.4891879,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_2.0_0.2_20250427-234304.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,48603.060301,CarbSphere_5.0_2.0_20250427-234304,Carbonium,5.0,0.3,0.4,12823.342868880141,2.826088,2.8486006,3.1220562,3.1350841,3.465193,4.043949,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_2.0_0.3_20250427-234304.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,48603.060301,CarbSphere_5.0_2.0_20250427-234304,Carbonium,5.0,0.4,0.4,12823.342868880141,3.2356709,3.2617328,3.5223222,3.5364255,3.9684449,4.5276547,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_2.0_0.4_20250427-234304.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,48603.060301,CarbSphere_5.0_2.0_20250427-234304,Carbonium,5.0,0.5,0.4,12823.342868880141,3.5989096,3.6280954,3.8786172,3.8937408,4.4146469,4.9630854,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_2.0_0.5_20250427-234304.json&mode=6&magnif=6
