rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
3.515,2.0,1280000000.0,124000000.0,578000000.0,3113.067209,Cube_4.02997875_2.0_20250606-132724,Carbonium,4.02997875,0.3,0.49628053249660437,12823.342868880141,1.6281712,2.1643927,2.2898986,2.34005,2.5236156,2.5283792,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.3_20250606-132724.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,3104.978157,Cube_4.02997875_2.0_20250606-132751,Siliconium,4.02997875,0.3,0.49628053249660437,5846.174706140654,1.6286901,2.1916733,2.3465113,2.5156107,2.5289727,2.6473037,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.3_20250606-132751.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,3111.287142,Cube_4.02997875_2.0_20250606-132846,Germanium,4.02997875,0.3,0.49628053249660437,3550.4469426244787,1.6286286,2.1891831,2.3459167,2.4931539,2.5282398,2.6359451,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.3_20250606-132846.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,3113.067209,Cube_4.02997875_2.0_20250606-132724,Carbonium,4.02997875,0.4,0.49628053249660437,12823.342868880141,1.8665181,2.4805558,2.6251674,2.6412542,2.9085475,2.9090157,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.4_20250606-132724.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,3104.978157,Cube_4.02997875_2.0_20250606-132751,Siliconium,4.02997875,0.4,0.49628053249660437,5846.174706140654,1.8671025,2.5113725,2.6492926,2.8844455,2.9147278,3.0177718,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.4_20250606-132751.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,3111.287142,Cube_4.02997875_2.0_20250606-132846,Germanium,4.02997875,0.4,0.49628053249660437,3550.4469426244787,1.8670332,2.5085541,2.6485814,2.8586459,2.9138825,3.0166473,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.4_20250606-132846.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,3113.067209,Cube_4.02997875_2.0_20250606-132724,Carbonium,4.02997875,0.5,0.49628053249660437,12823.342868880141,2.0776518,2.7606886,2.9092021,2.9221472,3.2458315,-,2,3,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.5_20250606-132724.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,3104.978157,Cube_4.02997875_2.0_20250606-132751,Siliconium,4.02997875,0.5,0.49628053249660437,5846.174706140654,2.0782953,2.7946842,2.9184864,3.2111021,3.2550833,3.3142129,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.5_20250606-132751.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,3111.287142,Cube_4.02997875_2.0_20250606-132846,Germanium,4.02997875,0.5,0.49628053249660437,3550.4469426244787,2.0782189,2.7915713,2.9176755,3.1823473,3.2541387,3.3131446,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.5_20250606-132846.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,3113.067209,Cube_4.02997875_2.0_20250606-132724,Carbonium,4.02997875,0.6,0.49628053249660437,12823.342868880141,2.2692029,3.0148774,3.1534686,3.1915779,3.5510132,-,2,3,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.6_20250606-132724.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,3104.978157,Cube_4.02997875_2.0_20250606-132751,Siliconium,4.02997875,0.6,0.49628053249660437,5846.174706140654,2.2699007,3.0517832,3.1637943,3.5074258,3.5630734,3.5847617,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.6_20250606-132751.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,3111.287142,Cube_4.02997875_2.0_20250606-132846,Germanium,4.02997875,0.6,0.49628053249660437,3550.4469426244787,2.2698179,3.0484013,3.1628971,3.4759933,3.5620391,3.5836588,2,3,3,3,1,2,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.6_20250606-132846.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,3113.067209,Cube_4.02997875_2.0_20250606-132724,Carbonium,4.02997875,0.7,0.49628053249660437,12823.342868880141,2.4457859,3.2492275,3.3796005,3.4399523,3.8269201,3.8320415,2,3,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.7_20250606-132724.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,3104.978157,Cube_4.02997875_2.0_20250606-132751,Siliconium,4.02997875,0.7,0.49628053249660437,5846.174706140654,2.4465341,3.2888324,3.3908378,3.7805725,3.8355955,3.8464809,2,3,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.7_20250606-132751.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,3111.287142,Cube_4.02997875_2.0_20250606-132846,Germanium,4.02997875,0.7,0.49628053249660437,3550.4469426244787,2.4464453,3.2852011,3.3898636,3.7466736,3.8344332,3.845364,2,3,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.7_20250606-132846.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,3113.067209,Cube_4.02997875_2.0_20250606-132724,Carbonium,4.02997875,0.8,0.49628053249660437,12823.342868880141,2.6104441,3.467768,3.5912128,3.6715523,4.0612007,4.093862,2,3,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.8_20250606-132724.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,3104.978157,Cube_4.02997875_2.0_20250606-132751,Siliconium,4.02997875,0.8,0.49628053249660437,5846.174706140654,2.6112396,3.5099008,3.6032724,4.0352592,4.070637,4.1103938,2,3,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.8_20250606-132751.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,3111.287142,Cube_4.02997875_2.0_20250606-132846,Germanium,4.02997875,0.8,0.49628053249660437,3550.4469426244787,2.6111451,3.5060361,3.6022282,3.9990617,4.0694086,4.1092,2,3,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_new_run\Cube_4.02997875_2.0_0.8_20250606-132846.json&mode=6&magnif=6
