rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
3.515,2.5,1079000000.0,124000000.0,578000000.0,61057.627106,Cube_8.0599575_2.5_20250610-180843,Carbon cubic,5.0,0.8,0.5,12823.342868880141,1.6180366,1.9869896,2.1296751,2.2260739,2.3090969,2.3171835,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_2.5_0.8_20250610-180843.json&mode=6&magnif=6
2.329,2.5,166000000.0,63900000.0,79600000.0,61015.460328,Cube_8.0599575_2.5_20250610-180824,Silicon cubic,5.0,0.9,0.5,5846.174706140654,1.7043963,1.9068065,2.1443077,2.173018,2.2986022,2.3150293,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_2.5_0.9_20250610-180824.json&mode=6&magnif=6
5.323,2.5,128900000.0,48300000.0,67099999.99999999,61083.33199,Cube_8.0599575_2.5_20250610-180830,Germanium cubic,5.0,0.9,0.5,3550.446942624478,1.7028158,1.8504286,2.0751455,2.1061619,2.2431888,2.2756483,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_2.5_0.9_20250610-180830.json&mode=6&magnif=6
3.515,2.5,1079000000.0,124000000.0,578000000.0,61057.627106,Cube_8.0599575_2.5_20250610-180843,Carbon cubic,5.0,0.9,0.5,12823.342868880141,1.7088125,2.0980365,2.249085,2.3362647,2.4251276,2.4455857,2,3,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_2.5_0.9_20250610-180843.json&mode=6&magnif=6
2.329,2.5,166000000.0,63900000.0,79600000.0,61015.460328,Cube_8.0599575_2.5_20250610-180824,Silicon cubic,5.0,1.0,0.5,5846.174706140654,1.7904027,2.002353,2.2354956,2.2879118,2.4070938,2.4316623,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_2.5_1.0_20250610-180824.json&mode=6&magnif=6
5.323,2.5,128900000.0,48300000.0,67099999.99999999,61083.33199,Cube_8.0599575_2.5_20250610-180830,Germanium cubic,5.0,1.0,0.5,3550.446942624478,1.7887624,1.9431415,2.163378,2.2175296,2.3561588,2.3856586,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_2.5_1.0_20250610-180830.json&mode=6&magnif=6
3.515,2.5,1079000000.0,124000000.0,578000000.0,61057.627106,Cube_8.0599575_2.5_20250610-180843,Carbon cubic,5.0,1.0,0.5,12823.342868880141,1.7949854,2.2034758,2.3624419,2.4409065,2.5281369,2.5748491,2,3,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_2.5_1.0_20250610-180843.json&mode=6&magnif=6
2.329,4.0,166000000.0,63900000.0,79600000.0,61040.874185,Cube_8.0599575_4.0_20250610-180825,Silicon cubic,5.0,0.0,0.8,5846.174706140654,0.0532035,0.0532039,0.0532244,0.0532567,0.0533098,0.0545073,3,3,2,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.0_20250610-180825.json&mode=6&magnif=6
5.323,4.0,128900000.0,48300000.0,67099999.99999999,61004.926072,Cube_8.0599575_4.0_20250610-180832,Germanium cubic,5.0,0.0,0.8,3550.446942624478,0.0525095,0.0525183,0.0525451,0.0525663,0.052621,0.05353,3,3,2,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.0_20250610-180832.json&mode=6&magnif=6
3.515,4.0,1079000000.0,124000000.0,578000000.0,61088.964213,Cube_8.0599575_4.0_20250610-180847,Carbon cubic,5.0,0.0,0.8,12823.342868880141,0.0532191,0.0532642,0.0533446,0.0536002,0.0539082,0.0561302,3,2,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.0_20250610-180847.json&mode=6&magnif=6
2.329,4.0,166000000.0,63900000.0,79600000.0,61040.874185,Cube_8.0599575_4.0_20250610-180825,Silicon cubic,5.0,0.1,0.8,5846.174706140654,0.6084679,0.68657,0.7380079,0.818987,0.8280764,0.8541053,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.1_20250610-180825.json&mode=6&magnif=6
5.323,4.0,128900000.0,48300000.0,67099999.99999999,61004.926072,Cube_8.0599575_4.0_20250610-180832,Germanium cubic,5.0,0.1,0.8,3550.446942624478,0.607757,0.6663706,0.7152567,0.8011057,0.8027544,0.8258126,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.1_20250610-180832.json&mode=6&magnif=6
3.515,4.0,1079000000.0,124000000.0,578000000.0,61088.964213,Cube_8.0599575_4.0_20250610-180847,Carbon cubic,5.0,0.1,0.8,12823.342868880141,0.6104518,0.7528838,0.8043413,0.8307799,0.8581642,0.8853112,2,3,3,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.1_20250610-180847.json&mode=6&magnif=6
2.329,4.0,166000000.0,63900000.0,79600000.0,61040.874185,Cube_8.0599575_4.0_20250610-180825,Silicon cubic,5.0,0.2,0.8,5846.174706140654,0.8283713,0.9301673,1.0323631,1.1261702,1.1328734,1.1367408,2,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.2_20250610-180825.json&mode=6&magnif=6
5.323,4.0,128900000.0,48300000.0,67099999.99999999,61004.926072,Cube_8.0599575_4.0_20250610-180832,Germanium cubic,5.0,0.2,0.8,3550.446942624478,0.8275189,0.9027177,1.0005742,1.0914326,1.1000895,1.1104563,2,3,1,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.2_20250610-180832.json&mode=6&magnif=6
3.515,4.0,1079000000.0,124000000.0,578000000.0,61088.964213,Cube_8.0599575_4.0_20250610-180847,Carbon cubic,5.0,0.2,0.8,12823.342868880141,0.8307526,1.0219957,1.0939978,1.1619737,1.1873408,1.2342855,2,3,3,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.2_20250610-180847.json&mode=6&magnif=6
2.329,4.0,166000000.0,63900000.0,79600000.0,61040.874185,Cube_8.0599575_4.0_20250610-180825,Silicon cubic,5.0,0.3,0.8,5846.174706140654,1.0006994,1.1218056,1.2597123,1.3328958,1.3599144,1.3699299,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.3_20250610-180825.json&mode=6&magnif=6
5.323,4.0,128900000.0,48300000.0,67099999.99999999,61004.926072,Cube_8.0599575_4.0_20250610-180832,Germanium cubic,5.0,0.3,0.8,3550.446942624478,0.9997166,1.088671,1.2209382,1.2899906,1.3178496,1.3462099,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.3_20250610-180832.json&mode=6&magnif=6
3.515,4.0,1079000000.0,124000000.0,578000000.0,61088.964213,Cube_8.0599575_4.0_20250610-180847,Carbon cubic,5.0,0.3,0.8,12823.342868880141,1.0034454,1.2333566,1.3211181,1.4177971,1.4237178,1.4804211,2,3,3,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.3_20250610-180847.json&mode=6&magnif=6
2.329,4.0,166000000.0,63900000.0,79600000.0,61040.874185,Cube_8.0599575_4.0_20250610-180825,Silicon cubic,5.0,0.4,0.8,5846.174706140654,1.1473446,1.2851203,1.4518859,1.4979846,1.55888,1.5666056,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.4_20250610-180825.json&mode=6&magnif=6
5.323,4.0,128900000.0,48300000.0,67099999.99999999,61004.926072,Cube_8.0599575_4.0_20250610-180832,Germanium cubic,5.0,0.4,0.8,3550.446942624478,1.1462447,1.2471457,1.4072056,1.4497368,1.5105944,1.5430774,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.4_20250610-180832.json&mode=6&magnif=6
3.515,4.0,1079000000.0,124000000.0,578000000.0,61088.964213,Cube_8.0599575_4.0_20250610-180847,Carbon cubic,5.0,0.4,0.8,12823.342868880141,1.1504177,1.413372,1.5144407,1.6137981,1.6340468,1.6912234,2,3,3,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.4_20250610-180847.json&mode=6&magnif=6
2.329,4.0,166000000.0,63900000.0,79600000.0,61040.874185,Cube_8.0599575_4.0_20250610-180825,Silicon cubic,5.0,0.5,0.8,5846.174706140654,1.2772309,1.4298812,1.6214402,1.6450112,1.7351363,1.7381716,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_cubic_material\Cube_8.0599575_4.0_0.5_20250610-180825.json&mode=6&magnif=6
