rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,ne,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
2.329,1.0,166000000.0,63900000.0,79600000.0,4176.72351,Cube_20.0_1.0_20250731-223728,Silicon cubic,12.407013312415108,0.4,0.080599575,5846.174706140654,512,1.5804497,1.7781908,1.9465068,2.0972669,2.1207651,2.1458541,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.4_20250731-223728.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,2958.619778,Cube_20.0_1.0_20250801-140814,Silicon cubic,12.407013312415108,0.4,0.080599575,5846.174706140654,1728,1.5681293,1.7654508,1.9199408,2.0914647,2.1027163,2.1247168,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.4_20250801-140814.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,23254.627856,Cube_20.0_1.0_20250801-140815,Silicon cubic,12.407013312415108,0.4,0.080599575,5846.174706140654,4096,1.56678,1.7643403,1.9134682,2.0946506,2.0999225,2.1210352,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.4_20250801-140815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.574077,Cube_20.0_1.0_20250801-195757,Silicon cubic,12.407013312415108,0.4,0.080599575,5846.174706140654,27,1.7916828,1.99982,2.1855314,2.4026843,2.467205,2.4826753,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.4_20250801-195757.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,124.13142,Cube_20.0_1.0_20250801-195758,Silicon cubic,12.407013312415108,0.4,0.080599575,5846.174706140654,343,1.5845206,1.782031,1.9583262,2.0953083,2.1279911,2.1542867,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.4_20250801-195758.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.261555,Cube_20.0_1.0_20250731-223722,Silicon cubic,12.407013312415108,0.5,0.080599575,5846.174706140654,8,2.5502681,2.7808583,2.948845,3.4792831,3.5598785,3.599903,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.5_20250731-223722.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,229.55603,Cube_20.0_1.0_20250731-223726,Silicon cubic,12.407013312415108,0.5,0.080599575,5846.174706140654,216,1.6427532,1.8452081,2.054808,2.1460823,2.2128815,2.238414,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.5_20250731-223726.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,4176.72351,Cube_20.0_1.0_20250731-223728,Silicon cubic,12.407013312415108,0.5,0.080599575,5846.174706140654,512,1.6182575,1.8182632,2.0078024,2.1211056,2.1770131,2.198132,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.5_20250731-223728.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,2958.619778,Cube_20.0_1.0_20250801-140814,Silicon cubic,12.407013312415108,0.5,0.080599575,5846.174706140654,1728,1.6053009,1.8043898,1.9778953,2.1136865,2.1575684,2.1756015,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.5_20250801-140814.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,23254.627856,Cube_20.0_1.0_20250801-140815,Silicon cubic,12.407013312415108,0.5,0.080599575,5846.174706140654,4096,1.6031767,1.8022501,1.969708,2.11534,2.1537254,2.1707345,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.5_20250801-140815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.574077,Cube_20.0_1.0_20250801-195757,Silicon cubic,12.407013312415108,0.5,0.080599575,5846.174706140654,27,1.8185536,2.0311145,2.2131787,2.4639157,2.5064777,2.5208208,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.5_20250801-195757.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,124.13142,Cube_20.0_1.0_20250801-195758,Silicon cubic,12.407013312415108,0.5,0.080599575,5846.174706140654,343,1.6231266,1.8232505,2.021996,2.1208467,2.1854024,2.2077925,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.5_20250801-195758.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.261555,Cube_20.0_1.0_20250731-223722,Silicon cubic,12.407013312415108,0.6,0.080599575,5846.174706140654,8,2.4752167,2.7023522,2.8532827,3.3792158,3.4796263,3.5320982,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.6_20250731-223722.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,229.55603,Cube_20.0_1.0_20250731-223726,Silicon cubic,12.407013312415108,0.6,0.080599575,5846.174706140654,216,1.6786277,1.8837631,2.117346,2.1683348,2.2659404,2.2882194,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.6_20250731-223726.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,4176.72351,Cube_20.0_1.0_20250731-223728,Silicon cubic,12.407013312415108,0.6,0.080599575,5846.174706140654,512,1.6547355,1.8570593,2.0670891,2.1445918,2.2296505,2.2481223,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.6_20250731-223728.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,2958.619778,Cube_20.0_1.0_20250801-140814,Silicon cubic,12.407013312415108,0.6,0.080599575,5846.174706140654,1728,1.6411645,1.8420681,2.0339845,2.1355813,2.2087782,2.2241959,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.6_20250801-140814.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,23254.627856,Cube_20.0_1.0_20250801-140815,Silicon cubic,12.407013312415108,0.6,0.080599575,5846.174706140654,4096,1.6382913,1.8389234,2.0241599,2.1357266,2.2038726,2.2181554,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.6_20250801-140815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.574077,Cube_20.0_1.0_20250801-195757,Silicon cubic,12.407013312415108,0.6,0.080599575,5846.174706140654,27,1.8450036,2.0619103,2.2404107,2.5236601,2.5436591,2.5583662,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.6_20250801-195757.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,124.13142,Cube_20.0_1.0_20250801-195758,Silicon cubic,12.407013312415108,0.6,0.080599575,5846.174706140654,343,1.6603827,1.8631673,2.0835346,2.1459982,2.2392123,2.25902,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.6_20250801-195758.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.261555,Cube_20.0_1.0_20250731-223722,Silicon cubic,12.407013312415108,0.7,0.080599575,5846.174706140654,8,2.3978174,2.6214706,2.754407,3.2760241,3.3974585,3.4394323,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.7_20250731-223722.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,229.55603,Cube_20.0_1.0_20250731-223726,Silicon cubic,12.407013312415108,0.7,0.080599575,5846.174706140654,216,1.7133584,1.9212258,2.1779473,2.1902794,2.3154459,2.3361522,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.7_20250731-223726.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,4176.72351,Cube_20.0_1.0_20250731-223728,Silicon cubic,12.407013312415108,0.7,0.080599575,5846.174706140654,512,1.6900652,1.8947511,2.1245846,2.1677535,2.2788172,2.2962204,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.7_20250731-223728.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,2958.619778,Cube_20.0_1.0_20250801-140814,Silicon cubic,12.407013312415108,0.7,0.080599575,5846.174706140654,1728,1.6759016,1.8786608,2.0884147,2.1571794,2.2565109,2.2709031,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.7_20250801-140814.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,23254.627856,Cube_20.0_1.0_20250801-140815,Silicon cubic,12.407013312415108,0.7,0.080599575,5846.174706140654,4096,1.6723036,1.8745353,2.0770237,2.1558417,2.2505251,2.2637042,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.7_20250801-140815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.574077,Cube_20.0_1.0_20250801-195757,Silicon cubic,12.407013312415108,0.7,0.080599575,5846.174706140654,27,1.8710542,2.0922324,2.267257,2.5790883,2.582021,2.5953405,2,3,2,3,1,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.7_20250801-195757.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,124.13142,Cube_20.0_1.0_20250801-195758,Silicon cubic,12.407013312415108,0.7,0.080599575,5846.174706140654,343,1.6964696,1.9019525,2.1431724,2.1707917,2.2895623,2.3083535,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.7_20250801-195758.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.261555,Cube_20.0_1.0_20250731-223722,Silicon cubic,12.407013312415108,0.8,0.080599575,5846.174706140654,8,2.3178349,2.5379799,2.6518471,3.1693853,3.3113657,3.3132284,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.8_20250731-223722.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,229.55603,Cube_20.0_1.0_20250731-223726,Silicon cubic,12.407013312415108,0.8,0.080599575,5846.174706140654,216,1.7470837,1.9577241,2.2119389,2.2368006,2.3614441,2.3824934,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.8_20250731-223726.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,4176.72351,Cube_20.0_1.0_20250731-223728,Silicon cubic,12.407013312415108,0.8,0.080599575,5846.174706140654,512,1.7243843,1.9314672,2.180462,2.1906129,2.3246464,2.3427097,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.8_20250731-223728.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,2958.619778,Cube_20.0_1.0_20250801-140814,Silicon cubic,12.407013312415108,0.8,0.080599575,5846.174706140654,1728,1.7096482,1.9142973,2.1413479,2.1785036,2.3009171,2.3160102,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.8_20250801-140814.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,23254.627856,Cube_20.0_1.0_20250801-140815,Silicon cubic,12.407013312415108,0.8,0.080599575,5846.174706140654,4096,1.7053479,1.9092151,2.1284551,2.175708,2.2938261,2.3076692,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.8_20250801-140815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.574077,Cube_20.0_1.0_20250801-195757,Silicon cubic,12.407013312415108,0.8,0.080599575,5846.174706140654,27,1.8967245,2.1221031,2.293742,2.6130876,2.63177,2.6390903,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.8_20250801-195757.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,124.13142,Cube_20.0_1.0_20250801-195758,Silicon cubic,12.407013312415108,0.8,0.080599575,5846.174706140654,343,1.7315251,1.9397347,2.1952506,2.2010946,2.3365908,2.3560699,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.8_20250801-195758.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.261555,Cube_20.0_1.0_20250731-223722,Silicon cubic,12.407013312415108,0.9,0.080599575,5846.174706140654,8,2.2349919,2.4516046,2.5451579,3.0589148,3.1781427,3.2267684,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.9_20250731-223722.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,229.55603,Cube_20.0_1.0_20250731-223726,Silicon cubic,12.407013312415108,0.9,0.080599575,5846.174706140654,216,1.7799132,1.9933577,2.2333319,2.2940621,2.4040483,2.4274536,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.9_20250731-223726.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,4176.72351,Cube_20.0_1.0_20250731-223728,Silicon cubic,12.407013312415108,0.9,0.080599575,5846.174706140654,512,1.757801,1.9673077,2.2131885,2.2348643,2.3673203,2.3878023,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.9_20250731-223728.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,2958.619778,Cube_20.0_1.0_20250801-140814,Silicon cubic,12.407013312415108,0.9,0.080599575,5846.174706140654,1728,1.7425107,1.9490782,2.1929167,2.1995719,2.3421908,2.3597314,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.9_20250801-140814.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,23254.627856,Cube_20.0_1.0_20250801-140815,Silicon cubic,12.407013312415108,0.9,0.080599575,5846.174706140654,4096,1.7375289,1.943062,2.1785806,2.1953429,2.3339636,2.3502653,2,3,1,2,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.9_20250801-140815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.574077,Cube_20.0_1.0_20250801-195757,Silicon cubic,12.407013312415108,0.9,0.080599575,5846.174706140654,27,1.9220321,2.1515433,2.3198863,2.6459279,2.6676794,2.6949503,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.9_20250801-195757.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,124.13142,Cube_20.0_1.0_20250801-195758,Silicon cubic,12.407013312415108,0.9,0.080599575,5846.174706140654,343,1.7656584,1.9766146,2.2193943,2.2574538,2.3804861,2.4023774,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_0.9_20250801-195758.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.261555,Cube_20.0_1.0_20250731-223722,Silicon cubic,12.407013312415108,1.0,0.080599575,5846.174706140654,8,2.1489577,2.3620154,2.4337962,2.9441464,3.0390852,3.1378864,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_1.0_20250731-223722.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,229.55603,Cube_20.0_1.0_20250731-223726,Silicon cubic,12.407013312415108,1.0,0.080599575,5846.174706140654,216,1.8119354,2.0282062,2.2544738,2.3498637,2.4434798,2.471196,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_1.0_20250731-223726.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,4176.72351,Cube_20.0_1.0_20250731-223728,Silicon cubic,12.407013312415108,1.0,0.080599575,5846.174706140654,512,1.7904027,2.002353,2.2354956,2.2879118,2.4070938,2.4316623,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_1.0_20250731-223728.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,2958.619778,Cube_20.0_1.0_20250801-140814,Silicon cubic,12.407013312415108,1.0,0.080599575,5846.174706140654,1728,1.7745747,1.9830834,2.2203991,2.2432318,2.3805923,2.4022322,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_1.0_20250801-140814.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,23254.627856,Cube_20.0_1.0_20250801-140815,Silicon cubic,12.407013312415108,1.0,0.080599575,5846.174706140654,4096,1.7689307,1.9761554,2.2147605,2.2275062,2.3711959,2.3916581,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_1.0_20250801-140815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,0.574077,Cube_20.0_1.0_20250801-195757,Silicon cubic,12.407013312415108,1.0,0.080599575,5846.174706140654,27,1.9469934,2.180572,2.3457075,2.6778213,2.7030911,2.7496748,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_1.0_20250801-195757.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,124.13142,Cube_20.0_1.0_20250801-195758,Silicon cubic,12.407013312415108,1.0,0.080599575,5846.174706140654,343,1.7989579,2.0126736,2.2432397,2.3123793,2.4215062,2.4474378,2,3,2,1,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_20.0_1.0_1.0_20250801-195758.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,710.866402,Cube_4.0_1.0_20250801-193201,Silicon cubic,2.481402662483022,0.0,0.402997875,5846.174706140654,216,0.2762303,0.2765997,0.2771975,0.2772282,0.2772364,0.277634,3,3,3,1,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_4.0_1.0_0.0_20250801-193201.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,13433.215074,Cube_4.0_1.0_20250801-193202,Silicon cubic,2.481402662483022,0.0,0.402997875,5846.174706140654,1000,0.1658194,0.1659259,0.165992,0.1660181,0.1660236,0.1695133,3,3,1,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_4.0_1.0_0.0_20250801-193202.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,57.32496,Cube_4.0_1.0_20250801-194730,Silicon cubic,2.481402662483022,0.0,0.402997875,5846.174706140654,64,0.3904299,0.3973894,0.3990954,0.4051372,0.4121545,0.4124007,1,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_4.0_1.0_0.0_20250801-194730.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,57.645657,Cube_4.0_1.0_20250801-194939,Silicon cubic,2.481402662483022,0.0,0.402997875,5846.174706140654,64,0.3904299,0.3973894,0.3990954,0.4051372,0.4121545,0.4124007,1,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_4.0_1.0_0.0_20250801-194939.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,57.297474,Cube_4.0_1.0_20250801-195531,Silicon cubic,2.481402662483022,0.0,0.402997875,5846.174706140654,64,0.3904299,0.3973894,0.3990954,0.4051372,0.4121545,0.4124007,1,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_4.0_1.0_0.0_20250801-195531.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,9.849624,Cube_4.0_1.0_20250801-195656,Silicon cubic,2.481402662483022,0.0,0.402997875,5846.174706140654,27,0.4559918,0.4680007,0.4809907,0.4927012,0.5066288,0.5147858,1,2,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_4.0_1.0_0.0_20250801-195656.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,225.841021,Cube_4.0_1.0_20250801-195713,Silicon cubic,2.481402662483022,0.0,0.402997875,5846.174706140654,125,0.3264354,0.3290426,0.3292577,0.3311293,0.3319016,0.3326298,1,3,1,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_4.0_1.0_0.0_20250801-195713.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,710.866402,Cube_4.0_1.0_20250801-193201,Silicon cubic,2.481402662483022,0.1,0.402997875,5846.174706140654,216,0.77155,0.8581708,0.8895484,0.9682873,1.0174886,1.052458,2,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_4.0_1.0_0.1_20250801-193201.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,13433.215074,Cube_4.0_1.0_20250801-193202,Silicon cubic,2.481402662483022,0.1,0.402997875,5846.174706140654,1000,0.7566326,0.8315438,0.8727585,0.9520876,0.9830412,1.0227814,2,1,3,3,2,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Cubos_Enmallado\Cube_4.0_1.0_0.1_20250801-193202.json&mode=6&magnif=6
