rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
3.515,1.0,1079000000.0,124000000.0,578000000.0,3338.677068,Sphere_0.5_1.0_20250617-111521,Carbon cubic,0.5,0.6,2.0,12823.342868880141,1.8586757,1.8957216,1.9523941,2.0746691,2.2782562,2.4531071,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.6_20250617-111521.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3338.419688,Sphere_0.5_1.0_20250617-111815,Germanium cubic,0.5,0.6,2.0,3550.446942624478,1.6457342,1.6496173,1.9401099,2.0752044,2.2966841,2.4264631,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.6_20250617-111815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3351.517615,Sphere_0.5_1.0_20250617-112035,Silicon cubic,0.5,0.6,2.0,5846.174706140654,1.6929031,1.6993794,1.9430867,2.0813966,2.3697068,2.5026974,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.6_20250617-112035.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3338.677068,Sphere_0.5_1.0_20250617-111521,Carbon cubic,0.5,0.7,2.0,12823.342868880141,2.0073452,2.045596,2.1085562,2.238749,2.4604939,2.6462618,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.7_20250617-111521.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3338.419688,Sphere_0.5_1.0_20250617-111815,Germanium cubic,0.5,0.7,2.0,3550.446942624478,1.775721,1.7815655,2.0952923,2.2393018,2.4804185,2.6208166,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.7_20250617-111815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3351.517615,Sphere_0.5_1.0_20250617-112035,Silicon cubic,0.5,0.7,2.0,5846.174706140654,1.8283135,1.8336057,2.0985065,2.2459533,2.5592827,2.703157,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.7_20250617-112035.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3338.677068,Sphere_0.5_1.0_20250617-111521,Carbon cubic,0.5,0.8,2.0,12823.342868880141,2.1457386,2.1852115,2.2539246,2.3915939,2.6301348,2.8262443,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.8_20250617-111521.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,3338.419688,Sphere_0.5_1.0_20250617-111815,Germanium cubic,0.5,0.8,2.0,3550.446942624478,1.8968179,1.9043934,2.2397484,2.3921646,2.6514513,2.8017202,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.8_20250617-111815.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,3351.517615,Sphere_0.5_1.0_20250617-112035,Silicon cubic,0.5,0.8,2.0,5846.174706140654,1.9543642,1.9586521,2.2431837,2.399246,2.7357532,2.8897442,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.8_20250617-112035.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,3338.677068,Sphere_0.5_1.0_20250617-111521,Carbon cubic,0.5,0.9,2.0,12823.342868880141,2.2757314,2.316425,2.3904691,2.535238,2.789478,2.9954307,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material_2\Sphere_0.5_1.0_0.9_20250617-111521.json&mode=6&magnif=6
