rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.0,0.6448,5846.174706140654,0.176492,0.1801804,0.1824008,0.1829662,0.1832038,0.1911709
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.1,0.6448,5846.174706140654,0.6739869,0.9140153,0.9973986,1.0055839,1.0546502,1.122871
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.2,0.6448,5846.174706140654,0.8927126,1.206835,1.3454047,1.3821363,1.3995429,1.4390682
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.3,0.6448,5846.174706140654,1.0665684,1.4404975,1.5731862,1.6732882,1.6809839,1.7205803
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.4,0.6448,5846.174706140654,1.2155887,1.641033,1.7594576,1.9078026,1.9341899,1.9689968
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.5,0.6448,5846.174706140654,1.3481543,1.8195308,1.9241847,2.1163599,2.1513063,2.1578843
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.6,0.6448,5846.174706140654,1.4687652,1.9819859,2.0743772,2.3060728,2.3103212,2.3604733
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.7,0.6448,5846.174706140654,1.5801762,2.1320813,2.2136439,2.458723,2.4812912,2.5469984
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.8,0.6448,5846.174706140654,1.6842213,2.2722736,2.3442169,2.5984703,2.6449084,2.7207657
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,0.9,0.6448,5846.174706140654,1.7821948,2.404299,2.4676199,2.730959,2.7989656,2.8840822
2.329,2.0,223100000.0,63900000.0,79600000.0,124.17652,Cube_5.0_2.0,Siliconium,3.1017369727047144,1.0,0.6448,5846.174706140654,1.8750509,2.5294383,2.58496,2.8572351,2.9449669,3.0386335
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.0,0.40049689440993785,3550.4469426244787,0.1772818,0.1775471,0.1777613,0.1778908,0.1782922,0.1838017
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.1,0.40049689440993785,3550.4469426244787,0.7674455,1.0351877,1.0390235,1.086921,1.1432189,1.1748041
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.2,0.40049689440993785,3550.4469426244787,0.9450034,1.2753526,1.3513234,1.3862199,1.4277218,1.5330393
5.323,2.0,182500000.0,48300000.0,67100000.0,14781.461569,GermCube_8.05_2.0_20250428-105451,Germanium,4.993796526054591,0.3,0.40049689440993785,3550.4469426244787,1.0892673,1.4665846,1.6043391,1.6060117,1.6523279,1.7450069
