rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
2.329,1.0,166000000.0,63900000.0,79600000.0,67926.449822,Sphere_10.0_1.0_20250612-213855,Silicon cubic,5.0,0.5,0.2,5846.174706140654,1.7949461,1.9086897,2.0749379,2.3262614,2.5015217,2.5114219,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.5_20250612-213855.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,68103.975923,Sphere_10.0_1.0_20250612-212914,Carbon cubic,5.0,0.6,0.2,12823.342868880141,2.0610548,2.1774012,2.1872463,2.3846322,2.5286657,2.8674865,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.6_20250612-212914.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,68038.810181,Sphere_10.0_1.0_20250612-213457,Germanium cubic,5.0,0.6,0.2,3550.446942624478,1.826725,1.9034849,2.1627202,2.3908322,2.5338322,2.5808542,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.6_20250612-213457.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,67926.449822,Sphere_10.0_1.0_20250612-213855,Silicon cubic,5.0,0.6,0.2,5846.174706140654,1.8749997,1.9657288,2.1662625,2.4000531,2.615471,2.6626954,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.6_20250612-213855.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,68103.975923,Sphere_10.0_1.0_20250612-212914,Carbon cubic,5.0,0.7,0.2,12823.342868880141,2.1450729,2.2500484,2.2653032,2.455238,2.6314837,2.9391423,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.7_20250612-212914.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,68038.810181,Sphere_10.0_1.0_20250612-213457,Germanium cubic,5.0,0.7,0.2,3550.446942624478,1.9014714,1.955645,2.2500685,2.4602189,2.6389601,2.7195669,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.7_20250612-213457.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,67926.449822,Sphere_10.0_1.0_20250612-213855,Silicon cubic,5.0,0.7,0.2,5846.174706140654,1.9516772,2.0195592,2.2537368,2.4688598,2.7237883,2.8057271,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.7_20250612-213855.json&mode=6&magnif=6
3.515,1.0,1079000000.0,124000000.0,578000000.0,68103.975923,Sphere_10.0_1.0_20250612-212914,Carbon cubic,5.0,0.8,0.2,12823.342868880141,2.2258555,2.3094615,2.3498356,2.521715,2.7302737,3.0087769,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.8_20250612-212914.json&mode=6&magnif=6
5.323,1.0,128900000.0,48300000.0,67099999.99999999,68038.810181,Sphere_10.0_1.0_20250612-213457,Germanium cubic,5.0,0.8,0.2,3550.446942624478,1.9733284,2.0053964,2.3340458,2.5256935,2.7395252,2.8514822,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.8_20250612-213457.json&mode=6&magnif=6
2.329,1.0,166000000.0,63900000.0,79600000.0,67926.449822,Sphere_10.0_1.0_20250612-213855,Silicon cubic,5.0,0.8,0.2,5846.174706140654,2.0253925,2.0709065,2.3378417,2.5339401,2.8274256,2.9417519,3,2,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_cubic_material\Sphere_10.0_1.0_0.8_20250612-213855.json&mode=6&magnif=6
